"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Products Module","Products List","0","0","1","0","0"
"","Users Module","Update User","0","0","2","0","0"
"","Carts Module","Add Cart","0","0","3","0","0"
"","Products Module","Delete Product","0","0","3","0","0"
"","Carts Module","Search Carts","0","0","3","0","0"
"","Products Module","Add Product","0","0","3","0","0"
"","Products Module","Search Product","0","0","3","0","0"
"","Carts Module","Delete Cart","0","0","3","0","0"
"","Users Module","Extract Credentials to YAML","0","0","1","0","0"
"","Users Module","Get All Users","0","0","1","0","0"
"","Users Module","Search User","0","0","3","0","0"
"","Simulation Event","Simulation flow","0","0","2","0","0"
"","Users Module","Add User","0","0","3","0","0"
"","Login Module","Login Success","0","0","1","0","0"
"","Carts Module","Carts List","0","0","1","0","0"
"","Login Module","Get All Tokens","0","0","1","0","0"
"","Users Module","Current User","0","0","1","0","0"
"","Carts Module","Update Cart","0","0","3","0","0"
